word,part_of_speech,meaning
act,verb,表演
achieve,verb,获得
analyze,verb,分析
context,noun,上下文
strategy,noun,策略
perspective,noun,视角
globalization,noun,全球化
hypothesis,noun,假设
synthesize,verb,综合
contemporary,adjective,当代的
cohesion,noun,连贯性
paradox,noun,悖论
implication,noun,隐含意义
innovation,noun,创新
ethical,adjective,道德的
infrastructure,noun,基础设施
diligent,adjective,勤奋的
phenomenon,noun,现象
flexible,adjective,灵活的
significant,adjective,重要的
harmony,noun,和谐
democracy,noun,民主
urgent,adjective,紧急的
adapt,verb,适应
technology,noun,科技
culture,noun,文化
communication,noun,交流
challenge,noun,挑战
solution,noun,解决方案
book,noun,书
pen,noun,笔
teacher,noun,老师
student,noun,学生
read,verb,阅读
write,verb,写作
study,verb,学习
happy,adjective,开心的
sad,adjective,伤心的
quickly,adverb,快速地
slowly,adverb,缓慢地
and,conjunction,和
agriculture,noun,农业
account,noun,账户
accuse,verb,指控
ambition,noun,雄心
application,noun,应用
